property,address,price,duration,number of bedrooms
4 bedroom semi-detached duplex for rent,"  Cowrie Creek Estate, Ikate Elegushi, Lekki, Lagos","12,000,000", per annum,4
3 bedroom house for rent,"  Abraham Adesanya, Ajah, Lagos","2,500,000", per annum,3
3 bedroom house for rent,"  Lekki Phase 1, Lekki, Lagos","6,000,000", per annum,3
2 bedroom house for rent,"  Right, Lekki, Lagos","4,000,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Ikate, Lekki, Lagos","2,600,000", per annum,1
2 bedroom house for rent,"  Victoria Island (VI), Lagos","13,000,000", per annum,2
5 bedroom semi-detached duplex for rent,"  Pinnock Beach Estate, Lekki, Lagos","15,000,000", per annum,5
1 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","3,000,000", per annum,1
1 bedroom flat / apartment for rent,"  By Fola Osibo, Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","3,000,000", per annum,1
2 bedroom flat / apartment for rent,"  Badore, Ajah, Lagos","1,100,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Behind Meridian Park Estate, Awoyaya, Ibeju Lekki, Lagos","450,000", per annum,1
3 bedroom flat / apartment for rent,"  Off Sobo Arobiodu Street, Ikeja GRA, Ikeja, Lagos","8,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Badore, Ajah, Lagos","1,200,000", per annum,2
2 bedroom flat / apartment for rent,"  Old GRA, Port Harcourt, Rivers","4,000,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Badore, Ajah, Lagos","900,000", per annum,1
2 bedroom terraced bungalow for rent,"  Ikate, Lekki, Lagos","2,500,000", per annum,2
Office space for rent,"  GRA Phase 2, Port Harcourt, Rivers","10,000,000", per annum,Office Space
4 bedroom semi-detached duplex for rent,"  Estate, Ikeja GRA, Ikeja, Lagos","9,000,000", per annum,4
Filling station for rent,"  Yaba, Lagos","23,000,000", per annum,
Self contain (single rooms) for rent,"  Orchid Road, Lekki Expressway, Lekki, Lagos","400,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Victoria Island (VI), Lagos","2,000,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Kusenla, Ikate, Lekki, Lagos","3,000,000", per annum,1
2 bedroom flat / apartment for rent,"  Mimi's Garden Estate Abraham Adesanya Side, Ajah, Lagos","1,500,000", per annum,2
3 bedroom flat / apartment for rent,"  Gbagada Phase 2, Gbagada, Lagos","3,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Yesufu Abiodun, Oniru, Victoria Island (VI), Lagos","5,500,000", per annum,2
4 bedroom terraced duplex for rent,"  Ajah, Lagos","3,500,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Lekki County Homes, Ikota, Lekki, Lagos","4,500,000", per annum,4
4 bedroom terraced duplex for rent,"  Osapa London, Osapa, Lekki, Lagos","3,500,000", per annum,4
Residential land for rent,"  Havens Gate Advantage, Mojoda Community, Epe, Lagos","550,000", per month,Restaurant Space
5 bedroom detached duplex for rent,"  Ikogosi Spring Street, Maitama District, Abuja","30,000,000", per annum,5
4 bedroom detached bungalow for rent,"  Dobys Estate, Lekki, Lagos","3,500,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Ikate, Ikate Elegushi, Lekki, Lagos","5,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Ikate Elegushi, Lekki, Lagos","2,600,000", per annum,2
Self contain (single rooms) for rent,"  Ikate Elegushi, Lekki, Lagos","1,200,000", per annum,1
3 bedroom flat / apartment for rent,"  Ikate, Ikate Elegushi, Lekki, Lagos","3,800,000", per annum,3
Self contain (single rooms) for rent,"  Oral Estate, Lekki, Lagos","1,500,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Onosa, Ibeju Lekki, Lagos","250,000", per annum,1
3 bedroom flat / apartment for rent,"  Villa Estate, Ikota, Lekki, Lagos","2,700,000", per annum,3
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","4,000,000", per annum,2
4 bedroom semi-detached duplex for rent,"  Towards The End Of Admiralty Way, Lekki Phase 1, Lekki, Lagos","7,000,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Close To This Present House Church By The End Of Admiralty Way, Lekki Phase 1, Lekki, Lagos","7,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Ikate Elegushi, Lekki, Lagos","6,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Elepe Royal Estate, Ikorodu, Lagos","1,300,000", per annum,2
5 bedroom detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","12,000,000", per annum,5
Residential land for rent,"  Villa Estate, Ikota, Lekki, Lagos","400,000,000", per annum,Restaurant Space
4 bedroom semi-detached duplex for rent,"  Osapa, Lekki, Lagos","5,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","6,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","5,500,000", per annum,2
5 bedroom detached duplex for rent,"  Ikate, Lekki, Lagos","12,000,000", per annum,5
2 bedroom flat / apartment for rent,"  Off Ijesha Road By Agulejika Street, Ijesha, Surulere, Lagos","1,200,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Oniru, Victoria Island (VI), Lagos","3,000,000", per annum,1
3 bedroom house for rent,"  Peterstone Avenue, Off Total Gospel Road, Odili Road, Trans Amadi, Port Harcourt, Rivers","3,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","5,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Farmville Estate, Sangotedo, Ajah, Lagos","1,200,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Oniru, Oniru, Victoria Island (VI), Lagos","3,500,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Ikeja GRA, Ikeja, Lagos","12,000,000", per annum,4
1 bedroom flat / apartment for rent,"  Oral Estate, Lekki, Lagos","1,500,000", per annum,1
5 bedroom detached duplex for rent,"  Oral Estate, Lekki, Lagos","6,000,000", per annum,5
1 bedroom mini flat (room and parlour) for rent,"  Oniru, Victoria Island (VI), Lagos","3,500,000", per annum,1
3 bedroom flat / apartment for rent,"  Before Orchid Roundabout,, Lekki, Lagos","2,500,000", per annum,3
Self contain (single rooms) for rent,"  Abule Ijesha, Yaba, Lagos","170,000", per month,1
Self contain (single rooms) for rent,"  Thomas Estate, Ajah, Lagos","500,000", per annum,1
4 bedroom terraced duplex for rent,"  Before Orchid Roundabout, Lekki, Lagos","4,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","7,000,000", per annum,2
1 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","3,500,000", per annum,1
3 bedroom terraced duplex for rent,"  Ologolo, Lekki, Lagos","4,500,000", per annum,3
3 bedroom terraced duplex for rent,"  Lekki Phase 1, Lekki, Lagos","9,500,000", per annum,3
5 bedroom detached duplex for rent,"  Ikate, Lekki, Lagos","12,000,000", per annum,5
1 bedroom mini flat (room and parlour) for rent,"  Oniru, Victoria Island (VI), Lagos","3,500,000", per annum,1
5 bedroom detached duplex for rent,"  Oral Estate, Ikota, Lekki, Lagos","6,000,000", per annum,5
5 bedroom detached duplex for rent,"  Ikate, Lekki, Lagos","12,000,000", per annum,5
Office space for rent,"  Central Area, Central Business District, Abuja",700, per square meter / per annum,Office Space
2 bedroom flat / apartment for rent,"  Off Freedom Way, Ikate, Lekki, Lagos","3,000,000", per annum,2
Office space for rent,"  Area 11, Garki, Abuja","80,000", per square meter / per annum,Office Space
3 bedroom flat / apartment for rent,"  Close To Paradise Estate 1, Life Camp, Abuja","3,500,000", per annum,3
3 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","4,000,000", per annum,3
4 bedroom terraced duplex for rent,"  Lekki Phase 1, Lekki, Lagos","8,500,000", per annum,4
2 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","5,500,000", per annum,2
Office space for rent,"  Fran. Kuboye, (right), Lekki Phase 1, Lekki, Lagos","75,000", per square meter / per annum,Office Space
4 bedroom terraced duplex for rent,"  Orchid Road, Lekki, Lagos","3,500,000", per annum,4
3 bedroom flat / apartment for rent,"  Victoria Island (VI), Lagos","12,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","7,000,000", per annum,3
Self contain (single rooms) for rent,"  Oroke Street, Off Mobil Road, Ilaje, Ajah, Lagos","400,000", per annum,1
3 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","10,000,000", per annum,3
5 bedroom detached duplex for rent,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","15,000,000", per annum,5
2 bedroom flat / apartment for rent,"  New Oko Oba Road, Agege, Lagos","600,000", per annum,2
4 bedroom terraced duplex for rent,"  Osapa London, Osapa, Lekki, Lagos","4,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Van Daniel Estate, Orchid Road, Lekki, Lagos","3,500,000", per annum,4
4 bedroom flat / apartment for rent,"  44 Oniru Victoria Island Lekki, Lekki, Lagos","12,000,000", per annum,4
5 bedroom detached duplex for rent,"  Idado, Lekki, Lagos","6,000,000", per annum,5
5 bedroom house for rent,"  16 Idado Lekki Lagos, Lekki, Lagos","8,000,000", per annum,5
4 bedroom terraced duplex for rent,"  36 Osapa London Agungi, Lekki, Lagos","5,000,000", per annum,4
3 bedroom flat / apartment for rent,"  16, Lekki Phase 1, Lekki, Lagos","5,200,000", per annum,3
5 bedroom semi-detached duplex for rent,"  23 Ikoyi, Lekki, Lagos","25,000,000", per annum,5
2 bedroom flat / apartment for rent,"  25 Victoria Island, Lekki, Lagos","13,000,000", per annum,2
4 bedroom semi-detached duplex for rent,"  Channels Tv Avenue Tophill Enclave Estate, Isheri North, Lagos","4,000,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  14 Right Side, Lekki Phase 1, Lekki, Lagos","3,000,000", per annum,1
2 bedroom flat / apartment for rent,"  Eko Energy, Victoria Island (VI), Lagos","90,000", per annum,2
5 bedroom semi-detached duplex for rent,"  44 Pinnock Beach Estate, Lekki, Lagos","15,000,000", per annum,5
3 bedroom detached duplex for rent,"  Ologolo, Lekki, Lagos","4,500,000", per annum,3
1 bedroom flat / apartment for rent,"  Oroke, Off Mobil Road,, Ilaje, Ajah, Lagos","800,000", per annum,1
3 bedroom semi-detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","10,000,000", per annum,3
3 bedroom house for rent,"  Lekki Peninsula Scheme 2 Via Mobil Road, Lekki Phase 2, Lekki, Lagos","2,500,000", per annum,3
3 bedroom semi-detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","10,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Osapa London, Osapa, Lekki, Lagos","2,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Alaguntan, Off Mobil Road, Ilaje, Ajah, Lagos","1,100,000", per annum,2
2 bedroom flat / apartment for rent,"  3rd Avenue Kajola Bus-stop, Lakowe, Ibeju Lekki, Lagos","700,000", per annum,2
Self contain (single rooms) for rent,"  Mayfair Garden, Awoyaya, Ibeju Lekki, Lagos","400,000", per annum,1
2 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","5,700,000", per annum,2
5 bedroom detached duplex for rent,"  Ikate, Lekki, Lagos","12,000,000", per annum,5
5 bedroom detached duplex for rent,"  Ajah, Lagos","5,000,000", per annum,5
2 bedroom flat / apartment for rent,"  Osapa London, Osapa, Lekki, Lagos","2,500,000", per annum,2
3 bedroom flat / apartment for rent,"  Abraham Adesanya, Ajah, Lagos","2,500,000", per annum,3
5 bedroom terraced duplex for rent,"  Osapa London, Osapa, Lekki, Lagos","5,000,000", per annum,5
3 bedroom terraced duplex for rent,"  Right Side, Lekki Phase 1, Lekki, Lagos","6,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Lekki Garden Phase, General Paint., Lekki Expressway, Lekki, Lagos","1,500,000", per annum,2
3 bedroom flat / apartment for rent,"  Banana Island, Ikoyi, Lagos","20,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Ikota School, Lekki Expressway, Lekki, Lagos","2,200,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Right Side, Lekki Phase 1, Lekki, Lagos","3,000,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Osapa London, Osapa, Lekki, Lagos","2,500,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Ikate, Lekki, Lagos","2,600,000", per annum,1
4 bedroom terraced duplex for rent,"  Ikota G.r.a, Mega Chicken Ikota, Lekki Phase 2, Lekki, Lagos","4,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Southdrift Courts Mobil Road, Ajah, Lagos","3,500,000", per annum,4
3 bedroom terraced duplex for rent,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","14,000,000", per annum,3
Restaurant / bar for rent,"  At Admiralty Way, Lekki Phase 1, Lekki, Lagos","10,000,000",,Restaurant Space
4 bedroom terraced duplex for rent,"  Osapa London, Lekki, Lagos","5,000,000", per annum,4
5 bedroom detached duplex for rent,"  Proper, Lekki Phase 1, Lekki, Lagos","15,000,000", per annum,5
3 bedroom terraced duplex for rent,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","13,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Right, Lekki Phase 1, Lekki, Lagos","6,000,000", per annum,3
12 bedroom flat / apartment for rent,"  Maitama District, Abuja","50,000,000", per annum,1
3 bedroom flat / apartment for rent,"  Urban Prime 1, Ajah, Lagos","3,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Banana Island, Ikoyi, Lagos","17,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Scheme 2, Ajah, Lekki, Lagos","2,500,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Goodnews Estate, Ajah, Lagos","750,000", per annum,1
Self contain (single rooms) for rent,"  Osapa London, Osapa, Lekki, Lagos","900,000", per annum,1
2 bedroom flat / apartment for rent,"  Osapa London, Osapa, Lekki, Lagos","3,000,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Magboro, Ogun","250,000", per annum,1
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","8,000,000", per annum,2
2 bedroom flat / apartment for rent,"  News Engineering, Dawaki, Gwarinpa, Abuja","2,200,000", per annum,2
3 bedroom flat / apartment for rent,"  United Estate, Sangotedo, Ajah, Lagos","2,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","3,000,000", per annum,2
Self contain (single rooms) for rent,"  Adebayor Off Agboyi Road, Alapere, Ketu, Lagos","270,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Oniru, Victoria Island (VI), Lagos","3,500,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Royal Garden Estate, Ajah, Lekki, Lagos","1,500,000", per annum,1
3 bedroom office space for rent,"  Ogunlana Drive, Surulere, Lagos","5,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Gwarinpa, Abuja","2,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Drive, Ogunlana, Surulere, Lagos","1,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Durumi, Abuja","2,500,000", per annum,2
3 bedroom flat / apartment for rent,"  Osapa London, Osapa, Lekki, Lagos","4,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","8,000,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Blossom Estate, Orchid Roundabout, Lekki, Lagos","2,000,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Royal Garden Estate,, Lekki, Lagos","1,700,000", per annum,1
3 bedroom detached bungalow for rent,"  Suncity Estate, Galadimawa, Abuja","5,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","10,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Ogombo, Ajah, Lagos","1,100,000", per annum,2
5 bedroom house for rent,"  Lekki Right, Lekki Phase 1, Lekki, Lagos","20,000,000", per annum,5
4 bedroom house for rent,"  Ikoyi, Lagos","18,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","5,500,000", per annum,3
Restaurant / bar for rent,"  40b Oba Dosumu Street., Ikeja GRA, Ikeja, Lagos","420,000",,Restaurant Space
3 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","5,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","3,500,000", per annum,2
4 bedroom detached duplex for rent,"  Ikate Elegushi, Lekki, Lagos","260,000,000", per annum,4
2 bedroom house for rent,"  Life Camp, Abuja","1,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Baruwa, Iyana Ipaja, Ipaja, Lagos","650,000", per annum,2
3 bedroom semi-detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","10,000,000", per annum,3
4 bedroom terraced duplex for rent,"  Ologolo, Lekki, Lagos","5,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Ologolo, Lekki, Lagos","5,000,000", per annum,4
4 bedroom commercial property for rent,"  Osapa, Lekki, Lagos","7,000,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  Oniru, Victoria Island (VI), Lagos","3,500,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Off 1st Avenue, Gwarinpa, Abuja","8,000,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  Oniru Estate, Victoria Island (VI), Lagos","3,500,000", per annum,1
4 bedroom detached duplex for rent,"  GRA Phase 2, Magodo, Lagos","8,000,000", per annum,4
3 bedroom terraced duplex for rent,"  Mobil Road, Ajah, Lagos","1,800,000", per annum,3
2 bedroom flat / apartment for rent,"  Fidiso Estate, Abijo, Lekki, Lagos","800,000", per annum,2
4 bedroom terraced duplex for rent,"  Salem, Ikate, Lekki, Lagos","5,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Off Fatai Durosimi, Victoria Island (VI), Lagos","13,000,000", per annum,2
3 bedroom terraced duplex for rent,"  Ikeja GRA, Ikeja, Lagos","30,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Victoria Island Annex, Lekki, Lagos","6,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Off College Road, Ogba, Ikeja, Lagos","1,700,000", per annum,2
Restaurant / bar for rent,"  40b Oba Dosumu Street., Ikeja GRA, Ikeja, Lagos","420,000",,Restaurant Space
3 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","7,000,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Bariga, Shomolu, Lagos","850,000", per annum,1
2 bedroom flat / apartment for rent,"  Pinnock Beach Estate Road, Osapa, Lekki, Lagos","1,800,000", per annum,2
3 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","5,500,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Osapa London, Osapa, Lekki, Lagos","2,500,000", per annum,1
Office space for rent,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","20,000,000", per annum,Office Space
3 bedroom flat / apartment for rent,"  Life Camp, Abuja","4,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Life Camp, Abuja","4,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Ikate Elegushi, Lekki, Lagos","3,500,000", per annum,2
Office space for rent,"  On Freedom Way, Lekki Phase 1, Lekki, Lagos","5,500,000", per annum,Office Space
3 bedroom flat / apartment for rent,"  Wuye, Abuja","13,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Off Ogunlana Drive, Surulere, Lagos","1,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","8,000,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Oniru, Victoria Island (VI), Lagos","3,500,000", per annum,1
2 bedroom flat / apartment for rent,"  Phase 2, Osborne, Ikoyi, Lagos","5,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Fola Agoro, Yaba, Lagos","1,500,000", per annum,3
3 bedroom flat / apartment for rent,"  Osborne, Ikoyi, Lagos","7,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Life Camp, Abuja","3,000,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Oniru, Victoria Island (VI), Lagos","3,500,000", per annum,1
4 bedroom house for rent,"  Maitama District, Abuja","25,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Close To Paradise Estate 1, Life Camp, Abuja","3,500,000", per annum,3
3 bedroom flat / apartment for rent,"  Life Camp, Abuja","3,000,000", per annum,3
5 bedroom semi-detached duplex for rent,"  Off Ligali Ayorinde Street, Victoria Island (VI), Lagos","24,000,000", per annum,5
Office space for rent,"  Unity Road, Off Mobolaji Bank Anthony Way, Ikeja, Lagos","2,500,000", per annum,Office Space
2 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","5,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Around Sunnyvale Estate, Lokogoma District, Abuja","1,200,000", per annum,2
Office space for rent,"  Allen Avenue, Allen, Ikeja, Lagos","30,720,000", per annum,Office Space
3 bedroom flat / apartment for rent,"  Off Isaac John Street, Ikeja GRA, Ikeja, Lagos","8,000,000", per annum,3
4 bedroom flat / apartment for rent,"  Orchid, Lekki, Lagos","4,500,000", per annum,4
5 bedroom semi-detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","12,000,000", per annum,5
5 bedroom terraced duplex for rent,"  Before Godab, Life Camp, Abuja","4,500,000", per annum,5
2 bedroom flat / apartment for rent,"  Akoka, Yaba, Lagos","1,300,000", per annum,2
4 bedroom flat / apartment for rent,"  Aiyeteju Town, Ibeju Lekki, Lagos","1,000,000", per annum,4
4 bedroom detached duplex for rent,"  Casagrey , Off Peace Apartments Road, Jahi, Abuja","4,500,000", per annum,4
Self contain (single rooms) for rent,"  Osapa, Lekki, Lagos","700,000", per annum,1
3 bedroom flat / apartment for rent,"  Life Camp, Abuja","3,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Life Camp, Abuja","4,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","4,000,000", per annum,2
4 bedroom semi-detached duplex for rent,"  Ogudu, Lagos","7,000,000", per annum,4
4 bedroom terraced duplex for rent,"  District, Jahi, Abuja","7,500,000", per annum,4
2 bedroom flat / apartment for rent,"  Behind Zenith Bank Head Office, Victoria Island (VI), Lagos","8,500,000", per annum,2
3 bedroom terraced duplex for rent,"  House 1d, Road 7, Ikota Villa Estate, Ikota, Lekki, Lagos","3,500,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Off Lawanson Road, Lawanson, Surulere, Lagos","800,000", per annum,1
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","8,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Ikate By Conoil Filling Station, Ikate Elegushi, Lekki, Lagos","4,500,000", per annum,3
4 bedroom semi-detached duplex for rent,"  Orchid Road, Lekki, Lekki, Lagos","4,500,000", per annum,4
3 bedroom flat / apartment for rent,"  6th Avenue, Gwarinpa, Abuja","2,500,000", per annum,3
4 bedroom terraced duplex for rent,"  Lekki Phase 1, Lekki, Lagos","8,500,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Ochacho Real Homes,, Idu Industrial, Abuja","9,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","4,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Agungi, Lekki, Lagos","2,500,000", per annum,2
4 bedroom terraced duplex for rent,"  Abiola Court, Osapa, Lekki, Lagos","4,500,000", per annum,4
4 bedroom terraced duplex for rent,"  Brains And Hammers City,, Life Camp, Abuja","4,000,000", per annum,4
5 bedroom detached duplex for rent,"  Ikate, Lekki, Lagos","12,000,000", per annum,5
Office space for rent,"  Oniru, Victoria Island (VI), Lagos","200,000", per square meter / per annum,Office Space
4 bedroom house for rent,"  Banana Island, Ikoyi, Lagos","22,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Gowon Estate, Egbeda, Alimosho, Lagos","2,000,000", per annum,3
4 bedroom semi-detached duplex for rent,"  Chevron Alternative Road, Lekki, Lagos","5,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Yaba, Lagos","3,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Ikate Elegushi, Lekki, Lagos","2,800,000", per annum,2
2 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","4,500,000", per annum,2
3 bedroom semi-detached duplex for rent,"  De Avocado Luxury And Smart Estate, Abijo, Lekki, Lagos","2,000,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Lekki Phase 1, Lekki, Lagos","6,500,000", per annum,1
30 bedroom hotel / guest house for rent,"  Adeyemoakapo, Omole Phase 1, Ikeja, Lagos","50,000,000", per annum,3
1 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","5,000,000", per annum,1
2 bedroom flat / apartment for rent,"  Elf Bus Stop, Lekki, Lagos","5,000,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Oniru, Victoria Island (VI), Lagos","5,000,000", per annum,1
2 bedroom flat / apartment for rent,"  Ologolo, Lekki, Lagos","3,000,000", per annum,2
4 bedroom terraced duplex for rent,"  Lekki Palm City,, Ajah, Lagos","3,800,000", per annum,4
2 bedroom terraced duplex for rent,"  Lekki Gardens Phase 3, Lbs, Olokonla, Ajah, Lagos","2,000,000", per annum,2
4 bedroom terraced duplex for rent,"  Lekki Phase 1, Lekki, Lagos","15,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Lekki Phase 1, Lekki, Lagos","10,000,000", per annum,4
3 bedroom house for rent,"  2nd Avenue, Ikoyi, Lagos","26,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Ikoyi, Lagos","19,000,000", per annum,2
1 bedroom flat / apartment for rent,"  Ikoyi, Lagos","15,000,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Lusada, Agbara-Igbesa, Lagos","120,000", per annum,1
2 bedroom flat / apartment for rent,"  Off Ketu Road, Lusada, Agbara-Igbesa, Lagos","180,000", per annum,2
3 bedroom flat / apartment for rent,"  Off Ajose Adeogun, Victoria Island (VI), Lagos","5,000,000", per annum,3
Restaurant / bar for rent,"  40b Oba Dosumu Street., Ikeja GRA, Ikeja, Lagos","420,000",,Restaurant Space
4 bedroom terraced duplex for rent,"  Atican Estate, Lekki Scheme Ii, Abraham Adesanya, Okun-Ajah, Ajah, Lagos","3,000,000", per annum,4
4 bedroom detached bungalow for rent,"  Kudeyibu Street,near Fagbile, Estate Bus Stop, Ijegun-isheri Osun Road, Ijegun, Ikotun, Lagos","800,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  Yaba, Lagos","1,200,000", per annum,1
2 bedroom flat / apartment for rent,"  Alapere, Ketu, Lagos","1,300,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Lekki Phase 1, Lekki, Lagos","6,500,000", per annum,1
2 bedroom flat / apartment for rent,"  Isheri Oshun Ijegun, Alimosho, Isheri, Lagos","600,000", per annum,2
2 bedroom flat / apartment for rent,"  Behind Blenco Supermarket, Olokonla, Ajah, Lagos","1,400,000", per annum,2
3 bedroom detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","6,000,000", per annum,3
6 bedroom commercial property for rent,"  Off Admiralty, Lekki Phase 1, Lekki, Lagos","15,000,000", per annum,6
2 bedroom flat / apartment for rent,"  Olokonla, Ajah, Lagos","1,800,000", per annum,2
3 bedroom flat / apartment for rent,"  Isheri Oshun, Ijegun Alimosho, Isheri, Lagos","800,000", per annum,3
