property,address,price,duration,number of bedrooms
3 bedroom semi-detached duplex for rent,"  Off Omorinre Johnson Street, Lekki Phase 1, Lekki, Lagos","6,000,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Harmony Langbasa, Jahun, Jigawa","600,000", per annum,1
5 bedroom house for rent,"  Lekki Phase 1, Lekki, Lagos","15,000,000", per annum,5
6 bedroom house for rent,"  Lekki Phase 1, Lekki, Lagos","18,000,000", per annum,6
5 bedroom detached duplex for rent,"  Chevy View Estate Along Chevron Drive, Lekki, Lagos","7,000,000", per annum,5
1 bedroom mini flat (room and parlour) for rent,"  Ogombo, Ajah, Lagos","800,000", per annum,1
Shop for rent,"  Off Thomas Salako, Ogba, Ikeja, Lagos","650,000", per annum,1
4 bedroom detached duplex for rent,"  Reverend Ogunbiyi Street, Ikeja GRA, Ikeja, Lagos","16,000,000", per annum,4
Shop for rent,"  Ogba, Ikeja, Lagos","1,000,000", per annum,1
Self contain (single rooms) for rent,"  Ado Road, Ajah, Lagos","400,000", per annum,1
4 bedroom terraced duplex for rent,"  Ikate Elegushi Lekki Lagos, Ikate, Lekki, Lagos","7,500,000", per annum,4
4 bedroom house for rent,"  Orchid Road, Lekki Phase 2, Lekki, Lagos","4,500,000", per annum,4
4 bedroom terraced duplex for rent,"  Along, VGC, Lekki, Lagos","4,500,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Chevron Alternative Route, Lekki Phase 2, Lekki, Lagos","4,500,000", per annum,4
Self contain (single rooms) for rent,"  Behind Mega Chicken, Ikota, Lekki, Lagos","900,000", per annum,1
2 bedroom flat / apartment for rent,"  Avera Estate, Olokonla, Ajah, Lagos","1,200,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Ogudu, Lagos","1,200,000", per annum,1
5 bedroom detached duplex for rent,"  Pinnock Beach Estate, Osapa, Lekki, Lagos","15,000,000", per annum,5
4 bedroom house for rent,"  Orchid Road By Chevron Toll Gate, Lekki, Lagos","4,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Off Mobil Road, Ilaje, Ajah, Lagos","2,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Ogudu, Lagos","2,000,000", per annum,2
Self contain (single rooms) for rent,"  Osapa, Lekki, Lagos","400,000", per annum,1
4 bedroom terraced duplex for rent,"  Ologolo, Lekki, Lagos","4,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Jahi, Abuja","3,000,000", per annum,2
Self contain (single rooms) for rent,"  Ado Road, Ajah, Lagos","500,000", per annum,1
Self contain (single rooms) for rent,"  Victor Bustop, Iyana Ipaja, Ipaja, Lagos","200,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  So Easy Bustop, Ayobo, Lagos","250,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Chevron Estate, Lekki, Lagos","6,000,000", per annum,4
Restaurant / bar for rent,"  40b Oba Dosumu Street., Ikeja GRA, Ikeja, Lagos","420,000",,Restaurant Space
3 bedroom terraced duplex for rent,"  Peter Odili Road, Trans Amadi, Port Harcourt, Rivers","3,700,000", per annum,3
4 bedroom semi-detached duplex for rent,"  Westend Estate Ikota Lekki County, Ikota, Lekki, Lagos","5,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Maitama District, Abuja","12,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Orchid Hotel Road, Lafiaji, Lekki, Lagos","4,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Orchid Hotel Road, Lekki Expressway, Lekki, Lagos","3,000,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Orchid Hotel Road, Lafiaji, Lekki Expressway, Lekki, Lagos","2,000,000", per annum,1
2 bedroom flat / apartment for rent,"  Maitama District, Abuja","8,000,000", per annum,2
1 bedroom flat / apartment for rent,"  Ilasan, Lekki, Lagos","1,200,000", per annum,1
1 bedroom flat / apartment for rent,"  Maitama District, Abuja","6,000,000", per annum,1
3 bedroom flat / apartment for rent,"  Katampe (Main), Katampe, Abuja","2,700,000", per annum,3
4 bedroom detached duplex for rent,"  Chevron, Lekki, Lagos","7,000,000", per annum,4
3 bedroom semi-detached duplex for rent,"  Ikate, Lekki, Lagos","10,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Off Nike Art Gallery Ikate Elegushi Lekki Lagos, Ikate Elegushi, Lekki, Lagos","5,500,000", per annum,3
4 bedroom terraced duplex for rent,"  Naf Valley Estate, Asokoro District, Abuja","7,000,000", per annum,4
4 bedroom detached duplex for rent,"  Ogudu, Lagos","8,000,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  Ushafa Main, Ushafa, Bwari, Abuja","600,000", per annum,1
2 bedroom flat / apartment for rent,"  Secured Estate, Osborne, Ikoyi, Lagos","5,000,000", per annum,2
6 bedroom detached duplex for rent,"  Asokoro District, Abuja","50,000,000", per annum,6
Self contain (single rooms) for rent,"  FO1 Layout, Kubwa, Abuja","500,000", per annum,1
3 bedroom flat / apartment for rent,"  Lekki Close To Ologolo, Lekki, Lagos, Lekki, Lagos","3,500,000", per annum,3
3 bedroom flat / apartment for rent,"  Banana Island, Ikoyi, Lagos","20,000,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  FO1 Layout, Kubwa, Abuja","1,500,000", per annum,1
2 bedroom flat / apartment for rent,"  FO1 Layout, Kubwa, Abuja","1,400,000", per annum,2
Self contain (single rooms) for rent,"  Hopeville Estate, Sangotedo, Ajah, Lagos, Sangotedo, Ajah, Lagos","550,000", per annum,1
2 bedroom flat / apartment for rent,"  FO1 Layout, Kubwa, Abuja","2,000,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  FO1 Layout, Kubwa, Abuja","1,500,000", per annum,1
1 bedroom flat / apartment for rent,"  Conservation Part Of Chevron, Lekki, Lagos","1,200,000", per annum,1
5 bedroom semi-detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","15,000,000", per annum,5
4 bedroom detached duplex for rent,"  Ikoyi, Lagos","18,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Victoria Island (VI), Lagos","15,000,000", per annum,3
Self contain (single rooms) for rent,"  Shapati, Ibeju Lekki, Lagos","250,000", per annum,1
4 bedroom detached duplex for rent,"  Ikoyi, Lagos","20,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Ikoyi, Lagos","16,000,000",,3
4 bedroom flat / apartment for rent,"  Ikoyi, Lagos","30,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Ikoyi, Lagos","18,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","7,000,000", per annum,2
4 bedroom terraced duplex for rent,"  Lekki Phase 1, Lekki, Lagos","15,000,000", per annum,4
2 bedroom flat / apartment for rent,"  3rd Avenue, Gwarinpa, Abuja","2,000,000", per annum,2
4 bedroom semi-detached duplex for rent,"  Ilaje, Ajah, Lagos","3,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Old Ikoyi, Ikoyi, Lagos","25,000,000", per annum,4
5 bedroom detached duplex for rent,"  Kitchen In Chevyview Estate Chevron, Lekki, Lagos","5,000,000", per annum,5
3 bedroom flat / apartment for rent,"  Off Sobo Arobiodu Street, Ikeja GRA, Ikeja, Lagos","8,500,000", per annum,3
8 bedroom detached duplex for rent,"  Asokoro District, Abuja","70,000,000", per annum,8
2 bedroom flat / apartment for rent,"  Off Sweet Sensation, Alagomeji, Yaba, Lagos","2,500,000", per annum,2
Self contain (single rooms) for rent,"  Agege, Lagos","400,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Off Police Station, Pedro, Gbagada, Lagos","1,200,000", per annum,1
3 bedroom flat / apartment for rent,"  Ocean Palm Estate, Blenco /skymall Area, Ajah, Lagos","2,300,000", per annum,3
2 bedroom flat / apartment for rent,"  Off Burger King, Alagomeji, Yaba, Lagos","2,500,000", per annum,2
3 bedroom flat / apartment for rent,"  Inoyo Havens Estate, Near Abraham Adesanya Estate, Ajiwe, Ajah, Lagos","1,800,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Agungi Ajiran Road Lekki Lagos State, Agungi, Lekki, Lagos","1,200,000", per annum,1
2 bedroom flat / apartment for rent,"  Chevy View Estate, Lekki, Lagos","2,500,000", per annum,2
4 bedroom detached duplex for rent,"  Ologolo, Lekki, Lagos","9,500,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  65 Ajiran Road, Agungi, Lekki, Lagos","197,500", per month,1
1 bedroom mini flat (room and parlour) for rent,"  Lagos Homes Akerele, Ogunlana, Surulere, Lagos","1,500,000", per annum,1
32 bedroom commercial property for rent,"  Chevvy View Estate, Lekki, Lagos","55,000,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Ikate, Lekki, Lagos","2,600,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Off Mobil Road, Ajah, Lagos","1,600,000", per annum,1
Self contain (single rooms) for rent,"  Infinity Estate, Ado, Ajah, Lagos","500,000", per annum,1
3 bedroom flat / apartment for rent,"  Katampe (Main), Katampe, Abuja","3,500,000", per annum,3
3 bedroom flat / apartment for rent,"  Oba Saheed Elegushi Street, Off Freedom Way, Lekki Phase 1, Lekki, Lagos","220,000", per month,3
Self contain (single rooms) for rent,"  Efab Estate, Life Camp, Abuja","600,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Oral Estate, Ikota, Lekki, Lagos","4,500,000", per annum,4
6 bedroom detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","20,000,000", per annum,6
2 bedroom flat / apartment for rent,"  Royal Estate, Peninsula Garden, Blenco Area, Ajah, Lagos","2,800,000", per annum,2
3 bedroom flat / apartment for rent,"  Thomas Estate, Ajah, Lagos","1,700,000", per annum,3
3 bedroom terraced duplex for rent,"  Mabushi, Abuja","8,000,000", per annum,3
5 bedroom semi-detached duplex for rent,"  Old Ikoyi, Ikoyi, Lagos","20,000,000", per annum,5
1 bedroom mini flat (room and parlour) for rent,"  Off Deeper Life Ogombo Ajah Lagos., Ogombo, Ajah, Lagos","700,000", per annum,1
3 bedroom terraced duplex for rent,"  Ori-oke, Ogudu, Lagos","3,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Agungi, Lekki, Lagos","4,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Agungi, Lekki, Lagos","2,500,000", per annum,2
3 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","6,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Off Bashiru Shittu Avenue, GRA Phase 2, Magodo, Lagos","2,500,000", per annum,3
4 bedroom terraced duplex for rent,"  Before Coza Church, Guzape District, Abuja","6,500,000", per annum,4
2 bedroom flat / apartment for rent,"  By Elevation Church Salem Lekki, Lekki, Lagos","2,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Lekki Close To Ologolo, Lekki, Lagos, Lekki, Lagos","2,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Gbagada Phase 1, Gbagada, Lagos","2,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Maitama, Maitama District, Abuja","3,500,000", per annum,2
Office space for rent,"  Off Opebi Road, Opebi, Ikeja, Lagos","7,000,000", per annum,Office Space
5 bedroom detached duplex for rent,"  Off Admiralty Way., Lekki Phase 1, Lekki, Lagos","15,000,000", per annum,5
3 bedroom flat / apartment for rent,"  Peninsula Garden Estate, Blenco Area., Ajah, Lagos","2,800,000", per annum,3
2 bedroom flat / apartment for rent,"  Royal Estate,thomas Estate Area, Ajah, Lagos","2,500,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Adeba, Lakowe, Ibeju Lekki, Lagos","500,000", per annum,1
6 bedroom detached duplex for rent,"  Lekki Phase 1, Lekki, Lagos","20,000,000", per annum,6
4 bedroom detached duplex for rent,"  Orchid, 2nd Toll Gate, Lekki, Lagos","5,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Orchard Road, Lekki, Lagos","5,000,000", per annum,4
4 bedroom detached duplex for rent,"  Idu Inside An Estate, Idu Industrial, Abuja","6,000,000", per annum,4
4 bedroom flat / apartment for rent,"  Old Ikoyi, Ikoyi, Lagos","15,000,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Osborne Phase 2 Foreshore Estate, Osborne, Ikoyi, Lagos","15,000,000", per annum,4
4 bedroom flat / apartment for rent,"  Banana Island, Ikoyi, Lagos","23,000,000", per annum,4
4 bedroom flat / apartment for rent,"  Old Ikoyi, Ikoyi, Lagos","25,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Old Ikoyi, Ikoyi, Lagos","8,000,000", per annum,2
4 bedroom terraced duplex for rent,"  Ikota Gra, Lekki, Lagos","3,500,000", per annum,4
2 bedroom flat / apartment for rent,"  Sabo Yaba, Yaba, Lagos","1,700,000", per annum,2
4 bedroom terraced duplex for rent,"  Ikate, Lekki, Lagos","7,500,000", per annum,4
4 bedroom terraced duplex for rent,"  Old Ikoyi, Ikoyi, Lagos","17,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Estate Close To Just Right, Ojodu, Lagos","1,500,000", per annum,2
1 bedroom flat / apartment for rent,"  Ikate Elegushi, Lekki, Lagos","1,200,000", per annum,1
5 bedroom detached duplex for rent,"  Pinnock Beach Estate Osapa London, Osapa, Lekki, Lagos","15,000,000", per annum,5
